var_names,var_labels
acc_hl_rate,"Rate of accepted homelessness applications per 10,000 households (MHCLG Open Data)"
rej_int_hl_rate,"Rate of homelessness applications rejected intentionally homeless per 10,000 households (MHCLG Open Data)"
homeless_any_rate,"Rate of homelessness applications any outcome per 10,000 households (MHCLG Open Data)"
waitlist_n_rate,"Rate of households on the waitlist for social housing per 10,000 households (MHCLG Open Data)"
n_lab,Number of years with Labour party local political control
n_con,Number of years with Conservative party local political control
n_ld,Number of years with Liberal Democrat local party political control
n_ind,Number of years with independent local party political control
n_noc,Number of years with no overall local party political control
majority,Political party (or lack of) with more than 8 years political control between 2010-2022
region_code,Region code
region_name,Region name
cla_age1_to_4_years,Number of children looked after aged 1 to 4 years old (inclusive)
cla_age10_to_15_years,Number of children looked after aged 10 to 15 years old (inclusive)
cla_age16_years_and_over,Number of children looked after aged 16 years old or older
cla_age5_to_9_years,Number of children looked after aged 5 to 9 years old (inclusive)
cla_age_under_1_year,Number of children looked after aged under 1 year old
cla_ethnicity_asian,Number of children looked after with Asian/British Asian ethnic background
cla_ethnicity_black,Number of children looked after with Black/Black British ethnic background
cla_ethnicity_mixed,Number of children looked after with Mixed Heritage ethnic background
cla_ethnicity_other,Number of children looked after with Other ethnic background
cla_ethnicity_unknown,Number of children looked after with Unknown ethnic background
cla_ethnicity_white,Number of children looked after with White/White British ethnic background
cla_gender_female,Number of children looked after who are female
cla_gender_male,Number of children looked after who are male
cla_need_n1_abuse_or_neglect,Number of children looked after at March 31st whose primary need at assessment was N1 Abuse or Neglect (2018-2022 only)
cla_need_n2_childs_disability,Number of children looked after at March 31st whose primary need at assessment was N2 Child's Disability (2018-2022 only)
cla_need_n3_parental_illness_or_disability,Number of children looked after at March 31st whose primary need at assessment was N3 Parental illness or disability (2018-2022 only)
cla_need_n4_family_in_acute_stress,Number of children looked after at March 31st whose primary need at assessment was N4 Family in acute stress (2018-2022 only)
cla_need_n5_family_dysfunction,Number of children looked after at March 31st whose primary need at assessment was N5 Family Dysfunction (2018-2022 only)
cla_need_n6_socially_unacceptable_behaviour,Number of children looked after at March 31st whose primary need at assessment was N6 Socially Unacceptable Behaviour (2018-2022 only)
cla_need_n7_low_income,Number of children looked after at March 31st whose primary need at assessment was N7 Low income (2018-2022 only)
cla_need_n8_absent_parenting,Number of children looked after at March 31st whose primary need at assessment was N8 Absent parenting (2018-2022 only)
scla_need_n1_abuse_or_neglect,Number of children starting to be looked after whose primary need at assessment was N1 Abuse or Neglect (2011-2017 only)
scla_need_n2_childs_disability,Number of children starting to be looked after whose primary need at assessment was N2 Child's Disability (2011-2017 only)
scla_need_n3_parental_illness_or_disability,Number of children starting to be looked after whose primary need at assessment was N3 Parental illness or disability (2011-2017 only)
scla_need_n4_family_in_acute_stress,Number of children starting to be looked after whose primary need at assessment was N4 Family in acute stress (2011-2017 only)
scla_need_n5_family_dysfunction,Number of children starting to be looked after whose primary need at assessment was N5 Family Dysfunction (2011-2017 only)
scla_need_n6_socially_unacceptable_behaviour,Number of children starting to be looked after whose primary need at assessment was N6 Socially Unacceptable Behaviour (2011-2017 only)
scla_need_n7_low_income,Number of children starting to be looked after whose primary need at assessment was N7 Low income (2011-2017 only)
scla_need_n8_absent_parenting,Number of children starting to be looked after whose primary need at assessment was N8 Absent parenting (2011-2017 only)
pop_age_10to15,Mean Population estimate for children (aged 10-15) (ONS Population Estimates from Admin Data)
pop_age_16plus,Mean Population estimate for children (aged 16+) (ONS Population Estimates from Admin Data)
pop_age_1to4,Mean Population estimate for children (aged 1-4) (ONS Population Estimates from Admin Data)
pop_age_5to9,Mean Population estimate for children (aged 5-9) (ONS Population Estimates from Admin Data)
pop_age_u1,Mean Population estimate for children (aged under 1) (ONS Population Estimates from Admin Data)
popest_female,Mean Population estimate for children (female) (ONS Population Estimates from Admin Data)
popest_male,Mean Population estimate for children (male) (ONS Population Estimates from Admin Data)
asian_ethnest,Population estimate for children (Asian/British Asian) (ONS Population Estimates from Admin Data multiplied by Census 2021 0-16 ethnic proportion for LA)
black_ethnest,Population estimate for children (Black/Black British) (ONS Population Estimates from Admin Data multiplied by Census 2021 0-16 ethnic proportion for LA)
mixed_ethnest,Population estimate for children (Mixed Heritage) (ONS Population Estimates from Admin Data multiplied by Census 2021 0-16 ethnic proportion for LA)
white_ethnest,Population estimate for children (White/White British) (ONS Population Estimates from Admin Data multiplied by Census 2021 0-16 ethnic proportion for LA)
other_ethnest,Population estimate for children (Other ethnic group) (ONS Population Estimates from Admin Data multiplied by Census 2021 0-16 ethnic proportion for LA)
